author,ulasan,like,publis
@LukmanSaputra-x1e,Dari IPHONE 11 PRO MAX smpe IPHONE 17 PRO MAX bentuk sama aje 😅😅😅😅😅,0,2025-11-04T16:04:43Z
@Abihtemborotomaychannel,"Coba bang SEVILKAN kamera vidio REALME 15 PRO GAME OF THRONE yg abang rivew kemarin tapi belum abang sevilkan sevek kamera vidionya bagaimana. Tolong di sevilkan lagi ya bang bagaimana kamerahnya?
Plisssss",0,2025-11-04T16:00:07Z
@donghua_fans2,"2:22 wkwk editannya gen z bnget, kaya beds editor",0,2025-11-04T15:48:37Z
@romyputraadindika6045,"TWS lagi bang david, dah 1 tahun nih🎉",0,2025-11-04T15:43:54Z
@uwadcamping,Masih setia redmi not 10 buat ngonten kamera nya lumyan ngebantu meski pokus nya di malam hari endut endutan euy,0,2025-11-04T15:41:31Z
@maklogetrich2378,bang coba review Redmagic 11 Pro,0,2025-11-04T13:56:50Z
@andylim7763,sayang banget gk masuk Indo yg 17 PM 😢,0,2025-11-04T13:55:30Z
@jiantochanelindo,Buat kaum mendang mending sh kalo pake iphone kalo redmi buat kalangan menengah sh 🎉🎉🎉,0,2025-11-04T13:38:07Z
@gabbymaulana179,Bro david sory nih 😅 bukan kaum banding banding nih jujur HEHEHE COBA KALO ANDROID TEST KAMERA NYA SW SAMA SG GITU BIAR GIMANA GITU😅,0,2025-11-04T12:52:18Z
@GARASIC70,Poco versi high value,0,2025-11-04T12:50:22Z
@bria4629,Gilaaak. Aku user iphone tergila2 sama xiaomi ini 😭,0,2025-11-04T12:43:19Z
@teguhwirawan1508,mantap,0,2025-11-04T12:40:47Z
@hafizhaKSA,"kecuali dibocorin 😂😂😂
Langsung straight to the point",1,2025-11-04T11:42:39Z
@reno9583,kata siapa ikutin iphone?? justru iphone ikuti xiaomi 11 ultra😂..android yg duluan style bgini.. aneh mmg user iphone😂,0,2025-11-04T11:12:18Z
@SigitMaulana-i8q,bang mau nanya setiap ngeriview hp terus itu hpnya dipake gak bang,0,2025-11-04T10:55:17Z
@rizqi8938,Kukira judulnya lagi roasting xiaomi nyontek iphone. Ternyata Literally  17 pro max.,0,2025-11-04T10:53:41Z
@mr.want_oo55,Wkwkw,0,2025-11-04T10:41:30Z
@Doyoks78,Min izin tanya Cpu IP 11 yang rusak bisa di perbaiki kah🙏,0,2025-11-04T10:28:14Z
@Skeepy07,Kalo harga di bawah 15jt sy upayakan beli daripada ipon,0,2025-11-04T10:25:48Z
@miftahuddinap,"Microphone nya beda nihh....

Ga kayak biasanya .. yang ini terlalu tipis (crisp)

Midle low nya hilang 

Kerasa banget",0,2025-11-04T10:20:26Z
@WongEdan-t4r,Itu kacamata nya apa kayak lagi rekam itu ?,0,2025-11-04T09:54:00Z
@mtsdoski,"wahh andai saya take vidio pake kamera hp di antara 2 ini, pasti mantep hasilnya",0,2025-11-04T09:49:09Z
@cky.cekaye,tapi layar belakangnya cuma bisa buat monitoring kamera bawaan aja ya? kalo misal live streaming di aplikasi tertentu mau monitoring pake layar belakangnya gak bisa kah? yg tau bantu jwb dong thankyouu🙏,1,2025-11-04T09:35:46Z
@ToniWijaya-u7g,4 kuadrat😂,0,2025-11-04T09:34:33Z
@choose1lol,Next Xiaomi pad 8,0,2025-11-04T09:21:38Z
@maskamal4781,Bang review samsung galaxy a17 5g,0,2025-11-04T08:57:47Z
@reaksibro,"Ikut bangga sama Xiaomi. Sekarang qualitasnya semakin maju.
Dr dulu saya pengguna kedua brand ini. Pake iphone dan Xiaomi. dr awal mi 1 smpe terakhir pake Xiaomi 12.
Mau brand apapun pasti ada kelebihan dan kekurangannya.
Jd kita sbg user support terus saja sama perkembangan teknologi terutama di HP.",0,2025-11-04T08:48:43Z
@Elmi8080,poco m4 pro bukan nya sudah dari dulu banget pake design seperti iphone 17 ?,0,2025-11-04T08:10:51Z
@lys_stopia,lihatnya harganya langsung diem😂,0,2025-11-04T07:51:14Z
@FujaAisyah,bang mirip Fiki naki😂,0,2025-11-04T07:29:35Z
@nurarifalhaqi8341,Bang unboxing Oppo find x9 bang,0,2025-11-04T07:21:20Z
@roka-line,Bisa gitu yakkk😂,0,2025-11-04T07:18:26Z
@JUVENILE愛,Jadi ini masih termasuk high end ya? Flagship series ultra berarti?,0,2025-11-04T07:02:46Z
@richardsilalahi7296,28:30 menjelaskan inti dari intinya wkwk,0,2025-11-04T06:00:21Z
@muhammadpraja1719,apakah sudah ada dipasar indo ?,0,2025-11-04T05:29:47Z
@TeddyAddison2,"Xiaomi: ""Oke lu ambil desain poco gua, gua ambil nama lu""",0,2025-11-04T05:05:34Z
@midiahmad9968,Kereeeeeen,0,2025-11-04T05:05:14Z
@deOdee-u2n,"ga juga sih bang,mungkin cuma branding doang itu hp saya Xiaomi 4X pake angka 4",0,2025-11-04T05:02:52Z
@reall999,Tribeca tempat kerja sy bang😂,0,2025-11-04T03:40:56Z
@muktisarioktaviani1950,"Bagus banget, warna fav😍🥰",0,2025-11-04T01:11:59Z
@rahmatmaulana1250,Yang reguler masuk nggak sih suka hp kecil dan baterai 7000mah,1,2025-11-04T00:59:38Z
@raofficial3632,Mahal mana harganya dari kedua hp itu,0,2025-11-04T00:30:01Z
@Gameplay_taptap,"Murah, cuma 21 jeti",0,2025-11-04T00:20:49Z
@SunartoAman,Anjir ini xioami jualan apa sedekah sih 😅,0,2025-11-04T00:20:00Z
@MrRey.,sekali lagi iPhone cuman bagus buat foto,0,2025-11-04T00:14:35Z
@MrRey.,20:56 penampakan 😂,0,2025-11-04T00:06:48Z
@MrRey.,lebih Bagus Xiaomi sih 15 JT an udh dpet charger,0,2025-11-03T23:55:05Z
@DwiyantoSinaga1271,"Iphone 17 bentuk camera belakangnya aneh, kyak ada sekat2 nya 😅😅",0,2025-11-03T23:44:31Z
@iwanrerungan9494,Xiaomi keren,0,2025-11-03T23:04:23Z
@Kisahhororid,Xiaomi keren,0,2025-11-03T20:58:42Z
@zamronisosial2025,"kekurangan hp Android yang kerasa banget itu kalau upload IG jadi burem, itu aja.",0,2025-11-03T20:14:45Z
@maidaajah8905,"kl gw sih tetap pilih IP, OS lebih smooth dan lebih aman. buat gw smacam itu hnya gimmick, ga bakal kepake buat gw. kyaknya apple ga bakal buat semacam itu, krn dlu apple aja hilangin touchbar di macbook krn mngkn ga trllu brguna dan makan daya, pdhl klo itu gw malah suka ada touchbar tp dihilangin.
yg ga gw suka di iphone itu di batrenya boros,ga tau model skrg gmna, tp di lini macbook malah juara batrenya dbanding lptop2 lain.

satu lg yg ga suka itu tampilan aplikasi metatrader 5 di iphone,ga disamain oleh dev nya dgn yg di android. jd klo eksekusi order tetap pakai android😁",0,2025-11-03T19:47:30Z
@akunteskutiga,semua akan xiaomi pada akhirnya 😍,0,2025-11-03T18:55:40Z
@APAANKEK,keren si,0,2025-11-03T18:28:23Z
@DIAVELL-92,Coba unboxing Nubia red magic 11pro bg David @gadjetln,0,2025-11-03T17:30:57Z
@nuryadisyahputra5901,mantab,0,2025-11-03T16:54:21Z
@armanfabre3163,Pengguna IP : hehehe,0,2025-11-03T16:30:03Z
@satelitponsel4387,"Bang, review hp Oppo find X9 Pro",0,2025-11-03T15:54:33Z
@yudhipippo9382,"tetep aja ga kebeli bang, walau cuma xiaomi 😢😢",0,2025-11-03T15:52:18Z
@dwimargianto3328,type A 2025?,0,2025-11-03T15:32:48Z
@labibarifin7844,Bang review hp red megic 11 pro+,0,2025-11-03T14:31:35Z
@tutorileks,iphone gak bakal bikin fold hp.. tapi kalo layar belakang gini.. kmungkinan mreka kepikiran juga 🤫,0,2025-11-03T14:24:16Z
@JosepAhmad-y9o,Rasa nya gak fire klo xiomi dibilang niri kayak nya iphone kena sadar klo drajat nya turun kasta menirukan modul android dah buat design gabagus dibilang brand android yg niru kacau😡,0,2025-11-03T13:46:47Z
@AfifHamss-s4e,"Review tws kapan bang david? Ada rekomen nih, monster xkt08 dan monster xkt16 🙏🙏🙏🙏",1,2025-11-03T13:39:59Z
@RezkyNR,Kok udh ada ml ya?,0,2025-11-03T13:20:03Z
@hilalfahmi1390,Kenapa gak unboxing musik box,2,2025-11-03T13:04:26Z
@tetengumilar2197,"xiaomi udh bagus tapi kalah nama sama apple,tapi kalo samsung yg buat untuk serI S26 tahun depan,kelar tuh iphone,",0,2025-11-03T12:52:35Z
@b_063iftiabdullatif8,16 itu ganjar,0,2025-11-03T12:13:44Z
@dioniandreas8299,aku mau 1,0,2025-11-03T12:13:18Z
@jev75,beli hp belasan juta msh merk china kya gimana gitu..hrga 5 jt ke bwah ok lah merk china alternative,0,2025-11-03T12:08:11Z
@muhammadalfianor695,Nanya harganya berapa nonton d skip2 soalnya,0,2025-11-03T11:38:35Z
@haykalazka4365,Udah kecewa pas dibilang panas haha,0,2025-11-03T10:23:34Z
@tikawijaya1475,BAGUS BGT PEREKAMAN VIDEONYA,0,2025-11-03T10:16:11Z
@chimangosen,softcase nya gak di pake,0,2025-11-03T09:56:17Z
@Layar_Tancap295,kerenan xiomi mendahului perkembangan hp...iphone malah baru ngeluarin modelan kaya xiomi itu sudah di pake xiomi..keren sih xiomi update uga ugalan dan spek yg sangat oke,0,2025-11-03T09:33:27Z
@Annisa_152,Kwalitas audio nya setara suara sound bose gak?,1,2025-11-03T09:23:27Z
@Ofrie1,Apple kapan mau bikin hape lipat?,0,2025-11-03T08:09:05Z
@fefysaputro3898,Mi 11 ultra bukanya flagship tpi juga panas?,0,2025-11-03T07:28:24Z
@pandawaaluminium,Tim samsung s24 ultra hadir kang,0,2025-11-03T07:25:12Z
@didityt6351,Kapan review hp red megic 11 bang ?,0,2025-11-03T07:05:44Z
@NeVyDaily,"User iphone tp pgn bgt pakai yg xiomi 17 promax, satisfying bgt lihat layar belakang",0,2025-11-03T07:00:35Z
@yunusmlakumlaku,gw kok fokus sama san fransisconya yah wkwkwk btw sebelum d SF maen kmna tuh david?,0,2025-11-03T06:43:08Z
@WirmaAgustin,"Bg iphone 15Pm panas bgt, ga dibawa game aja panas 😂",0,2025-11-03T06:38:58Z
@9StarHBArt,"Bang, tolong dong review hp yang paling cocok untuk driver ojol. Soalnya bingung dengan hp sekarang, terlalu banyak type.",0,2025-11-03T06:25:13Z
@mutsanna,Kelamaan bahas plastik pembungkus sampe 1menit 17detik.  6:00 - 7:17 😑,0,2025-11-03T05:44:21Z
@amefendi8564,Raja iklan + bug 😢 tetap stay s24+ 1x charge long batteray everyday 😁,0,2025-11-03T05:37:47Z
@D0NN_112,Gila 100 watt,0,2025-11-03T05:31:07Z
@UFR2001,1:42 kenapa anda jadi bapa bapa konspirasi weeeyyy 🤣🤣🤣,0,2025-11-03T05:21:06Z
@Ae16Setiamanggalaabadi,"Terbaik sih china bisa bersaing, teknologi manufaktur nya melesat jauh 👏",0,2025-11-03T05:19:48Z
@ouijr,"Dari kemarin seri pro exclusive china only smpe capek nunggu, akhirnya beli 15 ultra 😮‍💨
Gak jelek cma terlalu camera phone bgt buat gw yg pngen fitur kamera lengkap (ada periscope) aja 😅
Alasan ga beli yg china krna rom china itu bner2 enggak bgt buat dipake di hp utama!
Android gw cma mau xiaomi aja, krna harga dan spek pas buat gw",0,2025-11-03T05:14:27Z
@AdityaRizkyHamdani,good,0,2025-11-03T05:10:15Z
@TecnoCamon-q3d,1+7=8,0,2025-11-03T04:53:02Z
@ImAaa-j5r,Mau belii huhu bagus bgt lucuk😭keren banget si Xiaomi ini,0,2025-11-03T04:06:50Z
@hanifdwi-z3f,pertanyaannya. kok bisa designya sama? apakah bocor? atau emg design ini lagi hits,0,2025-11-03T03:58:08Z
@faisaladi4822,"apple tuh bisa, cuma gamau. inovasi sebanyak ini pasti dicicil ke 5 generasi wkwk",0,2025-11-03T03:00:47Z
@PasadenaDefi,Kwalitasnya jauh lebih baik iPhone emang kaum mendang mending akan memuji xiomai Samapi langit ke 100,0,2025-11-03T02:59:57Z
@Taxoljogja24,Videonya bagusss jelassss tak goyang,0,2025-11-03T02:42:13Z
@HinakoHanako,Sama sama pabrik di china kn 2 hp ini antara iphone sm xiaomi ? 😅,0,2025-11-03T02:37:32Z
@ahmd-h6g,canggih banget cuyy,0,2025-11-03T02:15:20Z
@NazriFamily57,Gue mau beli hp bekas review lu bang dmn ya,0,2025-11-03T02:14:17Z
@SofianAbadi-c1q,Gw jadi ngiler pen beli,1,2025-11-03T01:58:18Z
@kebasjbsbettafarm5566,Kutunggu 5tahun ke depan..😂😂😂,0,2025-11-03T01:26:56Z
@gustrihandoyo7404,"Angka 8 angka hoki, soalnya tidak ada awal dan ujung bang...nyambung semua 😊",0,2025-11-03T01:04:30Z
@adiadi2044,"Gw masih pake IP 13, karena budget terbatas buat ganti2 HP..seru liat Xiaomi ugal2an mepet Apple 😊",0,2025-11-03T00:58:56Z
@rangganalendra9121,Ada iklannya ga,0,2025-11-03T00:01:06Z
@viaaaputria8188,I love Huawei,0,2025-11-02T23:41:00Z
@IErfanCN,Shiapp,1,2025-11-02T23:19:27Z
@DaisanshaHou,"Tetep aja mau spek dewa thanos, herga puluhan juta, tapi merk xiaomi tetep dicap orang miskin yg make itu😂",0,2025-11-02T22:30:36Z
@revandss,16:04  beli 1 dapet 2 jir😂,0,2025-11-02T22:21:55Z
@Iam-me,"Box nya saja copy apple 😅
Apple camera pakai canon sdh kontrak dgn jepang sedari awal",0,2025-11-02T21:23:58Z
@Iam-me,"Tetap percaya buatan USA  : apple
Ntar di liat org lain screen di belkg nya
Di curi lah 😂",0,2025-11-02T21:22:46Z
@Rajabfamily_edtiz,"Aduh gemesnya tuh ga ngotak! Cuan di 𝐏𝐒𝐓𝐎𝐓𝐎𝟗𝟗 juga sama, ga ngotak",0,2025-11-02T19:41:27Z
@Rachmawatisavitri,Pengen beli I-Phone karena kameranya oke. Tp ga suka I-Phone. Bingung harus belu huawei atau xiomi. Hidup android,0,2025-11-02T19:34:00Z
@BianOfficial,Paling setahun ngedown performanya. . . Apa lagi udah sering update,0,2025-11-02T19:21:42Z
@영-w9e,itu pake kacamata apa ko? ada kameranya?,0,2025-11-02T19:07:30Z
@영-w9e,"Sbg pecinta kucing, haruskah gw ganti ke xiaomi dri ip 16pm gw haha",0,2025-11-02T19:04:16Z
@emin62bek,This phone is amazing.. I can't wait to see the Ultra version.,0,2025-11-02T18:27:56Z
@rranggaa2,lucu banget hp nya,0,2025-11-02T17:49:15Z
@veandraarkanprakoso128,"Pertama kali coba xiaomi di xiaomi redminote
Setelah cocok mungkin hampir hampir 20 seri hp xiaomi pernah gua pake kalau kagak salah😂
Harga murah soalnya😂😂",0,2025-11-02T17:46:17Z
@dinamusikaf5606,Cakep kameranya,0,2025-11-02T17:21:59Z
@Romistu,mengapa rata" android itu panas ketika bermain game?,0,2025-11-02T16:54:21Z
@HaydarAhmadGibranYulianto,Akhirnya David Kembail! dan Xiaomi Xiaomi 17 pro max Kok Mirip iPhone Android MKBHD Judul What A Tribbie,0,2025-11-02T16:32:41Z
@adrielkalihyt9583,Poco m7 4g bang,0,2025-11-02T16:27:57Z
@RaV3anD,"kata temen ane yg kerja di china, itu emang perang dagang, mocking, roasting antara china dan USA lg membara bgt. jd wajar aja xiaomi pake promax, krn usa ngecap china cm bisa jiplak, maka dr itu banyak brand china yg langsung secara terang2an menjiplak sprti blg ""nih gw jiplak lg, lu mau apa, lu bs apa""",9,2025-11-02T16:21:03Z
@firdausfamilly401,Bener juga kan poco dah duluan kek gitu ..jadi iphone niru siapa 😂😂😂,0,2025-11-02T16:16:48Z
@mahennidgaf.1945,11:09 ada ml njir,0,2025-11-02T16:15:19Z
@mahennidgaf.1945,ip>>xiaomi kahh?,0,2025-11-02T16:01:37Z
@lionofdessert3316,"Negara2 luar udh punya brand merk hp andalan masing2, di konoha buru2 motor mobil merk sendiri, hp aja ga punya, gilaa",0,2025-11-02T15:53:49Z
@FitriR.A-s4r,"Bang David bilang kalau angka hoki china 8, harusnya 8+8 jadi double hoki
Tapikan bang 17 , 1+7 = 8 angka hoki juga dong😁 makanya langsung loncat    angka 😅",0,2025-11-02T15:41:23Z
@DesiOktarina-p6k,"Bang mau beli Apple watch series 7 gak ,aku pakai 2 x . Kalo mau kirim email",0,2025-11-02T15:17:18Z
@DogeRider985,"masuk akal sih poco udh dari dlu model gitu
xiaomi kyknya ngikut poco ini

justru iphone ini yg ane rasa aneh kok tampilan malah kelihatan jadi kyk hp android malahan, bukan khas iphone lagi 
tapi ya namanya iphone mereka harus jadi yg innovatornya 😅

malah samsung skrng mulai perlahan ngambil ciri khas design iphone, gk kaget  klu samsung nnti malah ngikut 3 bobba iphone",0,2025-11-02T15:15:59Z
@agengped5944,Review bang Oppo find X9,0,2025-11-02T14:50:53Z
@Fujisalonmakassar,Ini unboxing tapi kayak mencelah,0,2025-11-02T14:48:47Z
@hambasahaya72,"Jelas iPhone pabrikannya di China, kalo design bocor ke tetangga lebih awal mah biasa, David nih kadang kadang polos aja, masa harus nunggu bocoran di Internet. Bisnis lebih kejam bosss, yakinlah iPhone design ini udah lama, dan Xiaomi pun juga udah dapat bocoran design ini juga lama, lalu kenapa kok Xiaomi release setelah iPhone release? Ini adalah salah satu trik market Xiaomi, kenapa? Untuk menggaet orang orang yang suka iPhone namun memilih android OS, lebih itu, Xiaomi melihat ini sebuah kesempatan untuk branding agar seolah olah Xiaomi 1 langkah didepan dengan layar belakangnya, padahal Xiaomi Copycat banget, 😂😂 kalo orang jeli pasti tau trik trik seperti ini, design familiar namun terlihat lebih mewah dengan tambahan layar belakang, seperti kita tau kalo orang lebih mudah terpengaruh hardware daripada software, orang lebih suka hal yang kongkret, daripada software yang lebih efektif namun tidak terlihat kasat mata, well done good job Xiaomi 😅",0,2025-11-02T14:44:09Z
@1qb4l55,Kelamaan babi,0,2025-11-02T14:35:32Z
@ahmadroziqin142,Jasa skip video 29:17,0,2025-11-02T14:30:08Z
@wahyujanuar5020,xiaomi flagship bakalan banyak iklan bertebaran like android lainnya nggak nih? kadang kalo kebanyakan iklan (yg paling  tidak diharapkan muncul tiba2) kan jadi males banget,0,2025-11-02T14:28:20Z
@ansyah24,Kalau upgrade dari 15 ultra worth it g?,0,2025-11-02T13:57:35Z
@arip687,"dulu dibully jiplakin iphone,skrg terang²an nyamain iphone,karna memang biar dibandingin,siap nantangin iphone. GG",0,2025-11-02T13:44:10Z
@jeomargian5435,mending siomi,0,2025-11-02T13:43:31Z
@sahlafc,IP emng hp dunia ya yg punya perusahaan hp pakenya IP 😂... Iya gimana semua org sehat ya tau Andro ya kualitas Andro walau gw pake tapi  IP emng josss . Apalagi Andro xiomi yg gampang panas sekali 12:53,0,2025-11-02T13:32:17Z
@ajistevan,"Kenapa musti d review sih bang, barang nya aja GAK bakalan masuk d tanah air...cuma bikin makin pengen punya aja... 😢😢😢",1,2025-11-02T13:19:27Z
@aldoharianto1233,next bahas redmagic 11 pro,1,2025-11-02T13:03:44Z
@aryatrisnantyo2266,"User iphone itu selain milih kamera yg jelas ok dr dulu, jg gede sama gengsinya, jadi mau android bikin inovasi sekeren apapun, ip lovers be like : yaudah lah yaa.",236,2025-11-02T13:01:50Z
@fadjaraldila9264,"Bang,coba review oneplus 15",1,2025-11-02T13:00:22Z
@iqhiiechannel4920,Cina memang hebat teknologinya ada juga ponsel yg di ciptakannya pake proyektor lcd,1,2025-11-02T12:51:18Z
@JerryLuas-r5s,Bang minta satu dong😊,3,2025-11-02T12:47:30Z
@ruana1214,"Kl udh ad di indo mau bgt bner2 kepake rear displaynya buat selfie, tp ttp nunggu turun harga sie🙂‍↕️",1,2025-11-02T12:40:03Z
@ariesetiawan5983,Cina di lawan 😂😂😂,1,2025-11-02T12:17:03Z
@AzuraShankara,Oh ini HP yang dipilih Xin ketimbang IP 17 pro max. Memang Xiaomi 17 pro max itu diluar nalar sampe² desain belakang IP 17 pro max terkesan seperti poco X6 pro. Wajar sih kalo pro player sudah melirik ke arah android sekarang terutama Xiaomi 17 pro max ini dengan chipset 8 elite gen 5 gilakkkkkk,2,2025-11-02T12:04:37Z
@XiJinping-j3v,Smntara itu gw Yg beli ip 17 pro max sama xiaomi 17 pro be like 😂,1,2025-11-02T11:58:43Z
@elelelelel0101,mau kalian hina apple ga akan terganti hype mewahnya dibanding xiaomi😂,2,2025-11-02T11:52:38Z
@AkbarAlfarizi-i8t,Jauh bener sama ip. Ip mah ketinggalan jauh. Cuma harga doang yg tinggi,1,2025-11-02T11:48:46Z
@ArgaDossantos-t1z,"Walau untuk memiliki adalah hal yg mustahil & gk mungkin kebeli, ! Cuman nonton doang biar gak penasaran & ketinggalan 😅",6,2025-11-02T11:44:11Z
@blackhole8668,"terealisasikan ... kemaren gempar masalah disain ...
iphone 17 pro mirip poco ...
.
di babat bapak nya poco ...
jujur bg lebih bagus xiaomi loh ...
yg paling mencolok di bagian kamera bukan hanya housing kosong ...",1,2025-11-02T11:39:03Z
@user-tampan,"Ini konten yg papa cari, goreng-gorengan.Saya mau sembilan",0,2025-11-02T11:37:43Z
@storylinegank,Suport akun saya kak😊,0,2025-11-02T11:34:30Z
@ansararas6919,😅,0,2025-11-02T11:19:10Z
@ansararas6919,😮h,0,2025-11-02T11:18:50Z
@Riskiramadan-gy9bt,Jadi pengen beli😆,0,2025-11-02T10:57:56Z
@mailimpostor5452,Ini baru hp banyak inovasi,0,2025-11-02T10:57:53Z
@GhifariNaufall,Mirip🥲,0,2025-11-02T10:46:11Z
@dimasrizky6512,Skip 16 karna 17 pro max bukan 16 pro max🗿,0,2025-11-02T10:16:13Z
@Wleee-f7f,Bang David please review Iqoo Z10R,0,2025-11-02T10:08:51Z
@Bluesbini87,Mantap,0,2025-11-02T10:06:56Z
@salwa_khodijah1125,"Kern, inovatif",0,2025-11-02T10:06:16Z
@Reyyy-cms,Nungguin konten review iqoo 15,0,2025-11-02T10:05:43Z
@BlegedeshEvelyn,Gua yg baru beli iPhone kayak nyesel deh😂😂,0,2025-11-02T09:37:29Z
@RyouTakahashi_Preset,Player genshin menangis melihat combo yang di keluarkan david saat bermain genshin,0,2025-11-02T09:37:15Z
@AdamMulyawan,Layar belakangnya bakal bisa digunain buat interface aplikasi2/widget gitu gak ya kedepanya?,0,2025-11-02T09:09:59Z
@ibrahim211081,Bang minta recomded laptop kuliah jurusan teknik sipil❤ budged 10 sampai 20 jt,0,2025-11-02T09:02:55Z
@iansabrian4002,Poco m7 kapan nii bang?,0,2025-11-02T09:01:21Z
@paijosukaryo8803,"Bang, review Redmi K90 pro max yg audionya collab sama Bose dong. Penasaran sama audionya",0,2025-11-02T08:56:34Z
@bimayanris9326,13:11 funfact Region Natlan itu inspirasi nya dari culture spanyol dan latin wkwkw,0,2025-11-02T08:54:39Z
@ZulfiadiDaud,"REVIEW REDMI PAD 2 PRO, UDAH JARANG BAHAS GADGET MURAH!!",0,2025-11-02T08:37:04Z
@dedeirawan-l1t,bng review realme 15t dong 🙏,0,2025-11-02T08:35:30Z
@thisisaeg,21:15 Whisnu Santika,0,2025-11-02T08:32:44Z
@razorboy3135,bang coba bahas honor pad magic 3😊😊😊,0,2025-11-02T08:24:15Z
@ADStorePasuruan,Mulai kapan bang David nyebut shopee,0,2025-11-02T08:13:51Z
@mirzaahmad4487,"Apa apaan siomay niru niru apple pakai pro max,, sangat membagongkan hp cina satu ini 👎👎👎👎👎👎",0,2025-11-02T08:11:41Z
@Semuasehatsehat,Iphone di ayam ayamin xiaomi,0,2025-11-02T07:51:22Z
@rosaapriyanal-gv5jx,Bang penjualan hp kelar unboxing dimana,0,2025-11-02T07:46:00Z
@bariqdharmawan6604,"Just info: 17, 1+7 = 8. Angka keberuntungan fix. WKWKWK",0,2025-11-02T07:42:56Z
@Ferdiaja78,review iqoo z10 r bang David!!,1,2025-11-02T07:20:53Z
@andriramdani9928,Bang david review smartwatch under 1 juta,0,2025-11-02T07:20:19Z
@azzarazzan,kapan review laptop lagi bang,0,2025-11-02T07:07:31Z
@alif-50-s1l,"HP yang panas karena anomali panasnya, atau memang dia ngeluarin panas dengan baik keluar dari HP lewat casingnya. 

Harus di validasi sih ini",0,2025-11-02T07:06:40Z
@nadhifatulmukaromah8333,"Banyak yg bilang , bagusan xiomi / oppo / realme / redme / shiome , dll , 
Iya iya bagusan mereka harga murah dan fitur banyak banget ,
tapi  ... kenapa harus meniru iphone dari segi desain nya , dn kadang ada juga yg buat iklan nya sampe sindir2 iphone , padahal si iphone nya cuma diem aja 🙃
Kalo aku bilang gini , pasti di bilang budak iphone 😂

kalo aku pribadi emng pilih iphone , dn aku jg pke android ,
pokok ny ya udh iphone dan samsung , udh gtu aja",0,2025-11-02T07:04:49Z
@windisyahputri8582,Riview projector terbagus dong bang!!!,1,2025-11-02T06:59:52Z
@stiveimang,Bang kacamatanya apa ya,0,2025-11-02T06:49:29Z
@raniranoot8268,Lebih kegoda xiaomi dari pada iphone,0,2025-11-02T06:25:35Z
@RfianaBela,Mantap bang,0,2025-11-02T06:16:59Z
@Zodiakyt5,Bang coba ZTE nubia z80 ultra,0,2025-11-02T06:03:21Z
@kunci_9,"Alhamdulillah suda kebeli,dan liat vidio bang david pakek xiaomi 17 pro max",0,2025-11-02T06:02:41Z
@syammy1234,"Jd perpaduan yaa
Ada iphonenya ada samsungnya 2in1",0,2025-11-02T05:58:05Z
@m.raihan2619,"Bang, kapan rekomendasi hp terbaik sesuai harga?",0,2025-11-02T05:56:20Z
@LibertyLangkai-p1c,REVIEW XPAD 20 pro bangggg,0,2025-11-02T05:48:50Z
@realmentobacco9219,"iPhone bakalan punah walau banyak pencintanya. Liat aja kejayaan Blackberry dan Nokia, pada akhirnya tumbang jg. Apalagi inovasinya cuma gt2 aja.",0,2025-11-02T05:44:55Z
@FatinLita,bg cobain smartwatch B31 ULTRA dari HANCHDON,0,2025-11-02T05:35:31Z
@Aleajo-s8l,Josss,0,2025-11-02T05:33:43Z
@vangkevlog9893,sayang gak review main game di layar belakang ama casing retro by xiomi,0,2025-11-02T05:22:11Z
@GVMBOi,kenapa 17 krn 1+7 = 8 (angka hoki),0,2025-11-02T05:16:45Z
@OZAZEL08,Iqoo z10r bang david pliis,0,2025-11-02T04:34:52Z
@romlimarzuqi6088,Minta penjelasan kalau hp china tdk resmi Indonesia apa byk minusnya?,0,2025-11-02T04:29:41Z
@ahmadramadhan5114,menang telak,0,2025-11-02T04:28:19Z
@rizalpandahan3976,Review samsung A26 dong bang gadgetin,0,2025-11-02T04:25:26Z
@himeragiarashi,"klo beli iqoo yang china versi work it gak ya, trus belinya dimana??",0,2025-11-02T04:23:09Z
@LouderApollo,"saya user xiaomi dari 2013, semua punya kelebihan masing-masing, iPhone pun punya feel yg bagus daripada gengsi kok. harus diakui dan jangan ngebagusin suatu tipe sendiri. saya doakan kalian bisa punya xiaomi dan iphone juga. amin...",2,2025-11-02T04:20:46Z
@kojeksvr4125,ada yang anehhh 13:46 🤣,0,2025-11-02T04:07:14Z
@wodekTV,Niru google pixel 😂,0,2025-11-02T03:55:47Z
@dianjepara214,"user nya beratrm, bos xiaomi dan iPhone nya ngopi bareng,..! 😅😂",0,2025-11-02T03:49:15Z
@zanmlyz,1:39,0,2025-11-02T03:42:08Z
@AqWibu,25:25 nokie e63 dulu ada cermin nya,0,2025-11-02T03:28:20Z
@riellamarsha,Bang coba bahas tentang realme note 70 bang soalnya aku pengen beli hp baru nih ditunggu ya uploadnya,1,2025-11-02T03:21:43Z
@andriyantowahyu8374,😮😮i.,0,2025-11-02T03:12:11Z
@Ofpost_99,Unboxing xiomi K90 Pro Max jga bg,0,2025-11-02T03:11:19Z
@Kingkong-eh3rv,bang david Rekomendasi HP ama tws lagi😊,0,2025-11-02T03:02:52Z
@BambangTriantoro-yr7dw,Lanjutkan review handphone smartphone.komputer.laptop dan elektronik lainnya dengan speksifikasi lengkap,1,2025-11-02T02:33:22Z
